Postcode;PercentageTrees;PercentageBushes;PercentageGrass
2021;18,00;8,35;28,03
2022;13,42;8,42;39,49
2023;22,30;10,29;34,56
2024;24,33;9,30;39,40
2025;17,06;8,30;34,65
2026;23,21;9,42;48,18
2031;20,36;11,32;52,12
2032;15,91;7,35;25,57
2033;20,45;9,08;46,77
2034;29,34;9,75;43,36
2035;24,00;10,54;43,61
2036;28,80;9,56;39,99
2037;22,95;9,31;45,85
2041;30,70;10,37;66,70
2042;27,81;11,35;72,57
2051;42,17;11,09;62,64
2061;52,79;9,95;33,74
2063;17,28;7,36;68,48
2064;35,78;15,57;57,27
2065;32,27;12,11;55,25
2071;45,01;12,82;42,84
2082;45,89;10,16;39,11
2101;29,60;10,23;34,95
2102;24,97;10,77;40,76
2103;33,46;9,36;41,26
2104;54,67;8,58;34,90
2105;38,93;10,00;40,71
2106;23,93;10,42;45,44
2111;57,16;9,18;31,14
2114;43,50;11,34;51,88
2116;44,08;12,17;47,48
2121;37,09;9,96;38,55
2131;28,19;9,85;50,60
2132;23,09;7,88;50,27
2133;22,70;9,81;41,31
2134;12,83;8,50;48,00
2135;15,94;8,49;40,12
2136;22,74;11,78;64,22
2141;26,69;9,72;61,70
2142;31,88;10,55;54,89
2143;17,63;8,51;72,41
2144;18,93;12,40;61,17
2151;22,29;11,88;49,42
2152;15,78;7,68;49,88
2153;23,05;7,48;53,95
2154;25,94;9,28;49,84
2155;27,42;7,19;52,05
2156;22,39;8,01;53,41
2157;34,14;7,85;49,93
2158;31,92;8,61;44,68
2159;18,80;8,83;50,11
2161;37,87;9,75;42,70
2162;22,68;8,89;38,39
2163;18,92;7,77;31,01
2165;26,69;12,55;54,19
2171;23,59;8,78;37,46
2172;26,10;8,98;42,59
2181;19,49;8,35;45,87
2182;26,18;8,83;40,46
2191;33,06;11,50;55,95
2201;29,66;9,59;52,83
2202;21,85;13,52;59,29
2203;22,48;8,95;49,69
2204;34,06;11,06;63,59
2211;31,77;9,99;44,86
2212;32,48;8,90;42,77
2215;19,76;8,72;48,92
2216;13,83;4,37;45,59
2221;20,46;9,82;51,57
2222;22,53;8,41;37,26
2223;32,02;12,71;58,11
2224;23,53;10,72;56,97
2225;18,11;10,43;62,96
2231;15,45;8,22;45,99
2232;5,77;4,97;41,80
2235;18,79;8,37;54,98
2236;38,66;10,50;79,42
2241;29,00;10,23;48,39
2242;32,75;13,59;66,06
2243;51,54;12,57;38,29
2244;48,27;11,50;47,07
2245;54,89;9,62;41,63
2251;23,05;8,91;46,75
2252;36,37;10,86;45,16
2253;31,89;10,10;46,21
2254;40,35;10,04;40,00
2261;36,96;10,75;41,95
2262;30,95;7,32;42,36
2263;34,18;8,18;51,46
2264;25,34;10,61;40,41
2265;21,16;8,96;45,59
2266;32,31;9,49;60,46
2267;27,98;13,56;46,62
2271;28,57;11,87;39,61
2272;27,04;11,14;45,26
2273;22,44;8,63;46,13
2274;22,19;10,29;37,46
2275;26,97;11,11;43,15
2281;23,86;13,80;37,52
2282;29,86;10,17;38,30
2283;44,04;9,40;39,95
2284;32,18;9,57;45,44
2285;33,97;9,47;43,99
2286;24,62;8,99;52,03
2287;39,39;9,52;43,22
2288;38,92;9,07;41,52
2289;26,95;9,42;56,48
2291;17,27;8,34;43,70
2292;11,01;7,62;41,08
2295;14,93;8,58;49,79
2311;24,40;9,79;31,34
2312;19,73;6,94;27,12
2313;22,35;11,00;37,80
2314;23,93;9,30;43,86
2315;20,22;8,54;35,30
2316;20,05;8,25;39,27
2317;28,47;10,29;37,42
2318;25,29;10,66;40,91
2321;21,18;8,32;37,84
2322;38,42;10,69;52,47
2323;25,45;10,33;54,91
2324;30,12;9,24;42,36
2331;19,79;8,85;40,68
2332;27,33;9,12;41,16
2333;32,40;7,49;37,52
2334;43,77;9,15;34,68
2341;27,89;10,52;41,26
2342;35,12;8,19;46,12
2343;22,01;10,54;48,22
2351;22,30;8,97;56,30
2352;25,01;9,28;42,73
2353;23,95;8,86;48,53
2355;18,36;7,95;53,22
2361;34,92;10,04;50,51
2362;17,75;10,39;55,36
2371;16,35;8,27;47,00
2374;24,10;9,19;53,54
2375;17,70;7,78;55,42
2376;23,34;10,28;54,31
2377;21,89;8,44;39,14
2381;24,61;9,17;55,11
2382;27,30;7,84;48,66
2391;19,60;9,29;58,15
2394;24,86;8,63;54,72
2396;23,07;8,25;54,69
2401;25,36;8,79;46,38
2402;25,36;8,31;43,92
2403;34,94;8,87;51,15
2404;25,74;7,44;39,81
2405;19,00;7,78;35,20
2406;28,33;8,36;44,95
2407;21,52;8,14;57,39
2408;14,42;7,91;47,41
2409;18,57;10,14;66,39
2411;20,92;8,56;52,91
2412;8,66;4,39;51,42
2415;21,08;8,95;61,51
2421;25,13;12,32;64,50
2431;18,69;8,58;53,01
2432;28,57;8,13;58,06
2435;21,37;8,60;57,87
2441;23,63;7,82;60,94
2445;24,89;8,05;58,02
2451;20,04;9,36;53,16
2461;21,70;8,59;53,06
2465;19,85;10,04;54,90
2471;30,14;7,74;50,17
2481;22,66;9,84;53,77
2491;22,90;8,79;53,10
2492;11,51;8,94;59,15
2493;15,72;7,60;53,87
2495;24,96;11,57;59,24
2496;23,61;9,89;52,95
2497;15,09;7,47;53,38
2498;15,86;10,07;47,17
2511;18,44;6,98;23,04
2512;18,36;7,75;28,18
2513;20,93;8,63;29,07
2514;34,26;8,31;29,32
2515;19,59;7,88;29,16
2516;20,13;7,66;34,97
2517;39,06;9,71;33,43
2518;21,55;10,04;27,77
2521;17,82;7,56;36,20
2522;14,78;8,66;25,50
2523;14,33;8,08;35,76
2524;16,04;8,31;30,62
2525;15,82;8,33;30,02
2526;12,80;7,44;29,10
2531;28,29;8,82;36,20
2532;24,85;7,23;34,39
2533;37,21;8,38;49,59
2541;26,15;8,45;49,85
2542;27,70;8,45;41,78
2543;27,73;8,07;44,84
2544;36,46;9,31;40,50
2545;25,34;8,49;42,62
2546;15,70;10,67;32,82
2547;26,56;8,63;33,90
2548;12,20;7,56;40,51
2551;27,07;10,26;41,05
2552;29,14;9,95;38,27
2553;45,68;10,27;39,22
2554;30,03;13,19;59,02
2555;36,21;12,68;48,77
2561;15,00;10,27;21,79
2562;15,14;8,16;27,98
2563;20,23;9,73;29,20
2564;24,03;11,05;39,11
2565;28,81;10,55;37,30
2566;34,74;14,32;44,27
2571;18,61;7,74;32,22
2572;13,89;6,59;28,53
2573;15,19;9,31;31,54
2574;16,71;8,74;25,16
2581;18,90;9,28;32,71
